state_id,party_id,first_name,last_name
1,1,Kay,Ivey
2,1,Mike,Dunleavy
3,1,Douglas,Ducey
4,1,Asa,Hutchinson
5,2,Gavin,Newsom
6,2,Jared,Polis
7,2,Edward,Lamont
8,2,John,Carney
9,1,Ronald,DeSantis
10,1,Brian,Kemp
11,2,David,Ige
12,1,Brad,Little
13,2,J.B.,Pritzker
14,1,Eric,Holcomb
15,1,Kimberly,Reynolds
16,2,Laura,Kelly
17,1,Matthew,Bevin
18,2,John,Edwards
19,2,Janet,Mills
20,1,Lawrence,Hogan
21,1,Charles,Baker
22,2,Gretchen,Whitmer
23,2,Tim,Walz
24,1,Dewey,Bryant
25,1,Michael,Parson
26,2,Stephen,Bullock
27,1,John,Ricketts
28,2,Steve,Sisolak
29,1,Christopher,Sununu
30,2,Philip,Murphy
31,2,Michelle,Lujan Grisham
32,2,Andrew,Cuomo
33,2,Roy,Cooper
34,1,Douglas,Burgum
35,1,Michael,DeWine
36,1,Kevin,Stitt
37,2,Katherine,Brown
38,2,Thomas,Wolf
39,2,Gina,Raimondo
40,1,Henry,McMaster
41,1,Kristi,Noem
42,1,Bill,Lee
43,1,Gregory,Abbott
44,1,Gary,Herbert
45,1,Philip,Scott
46,2,Ralph,Northam
47,2,Jay,Inslee
48,2,James,Justice
49,2,Tony,Evers
50,1,Mark,Gordon
