state_id,date,cumulative_cases,cumulative_deaths,new_cases,new_deaths
1,1/22/20,0,0,0,0
1,1/23/20,0,0,0,0
1,1/24/20,0,0,0,0
1,1/25/20,0,0,0,0
1,1/26/20,0,0,0,0
1,1/27/20,0,0,0,0
1,1/28/20,0,0,0,0
1,1/29/20,0,0,0,0
1,1/30/20,0,0,0,0
1,1/31/20,0,0,0,0
1,2/1/20,0,0,0,0
1,2/2/20,0,0,0,0
1,2/3/20,0,0,0,0
1,2/4/20,0,0,0,0
1,2/5/20,0,0,0,0
1,2/6/20,0,0,0,0
1,2/7/20,0,0,0,0
1,2/8/20,0,0,0,0
1,2/9/20,0,0,0,0
1,2/10/20,0,0,0,0
1,2/11/20,0,0,0,0
1,2/12/20,0,0,0,0
1,2/13/20,0,0,0,0
1,2/14/20,0,0,0,0
1,2/15/20,0,0,0,0
1,2/16/20,0,0,0,0
1,2/17/20,0,0,0,0
1,2/18/20,0,0,0,0
1,2/19/20,0,0,0,0
1,2/20/20,0,0,0,0
1,2/21/20,0,0,0,0
1,2/22/20,0,0,0,0
1,2/23/20,0,0,0,0
1,2/24/20,0,0,0,0
1,2/25/20,0,0,0,0
1,2/26/20,0,0,0,0
1,2/27/20,0,0,0,0
1,2/28/20,0,0,0,0
1,2/29/20,0,0,0,0
1,3/1/20,0,0,0,0
1,3/2/20,0,0,0,0
1,3/3/20,0,0,0,0
1,3/4/20,0,0,0,0
1,3/5/20,0,0,0,0
1,3/6/20,0,0,0,0
1,3/7/20,0,0,0,0
1,3/8/20,0,0,0,0
1,3/9/20,0,0,0,0
1,3/10/20,0,0,0,0
1,3/11/20,0,0,0,0
1,3/12/20,0,0,0,0
1,3/13/20,5,0,5,0
1,3/14/20,7,0,2,0
1,3/15/20,11,0,4,0
1,3/16/20,29,0,18,0
1,3/17/20,39,0,10,0
1,3/18/20,51,0,12,0
1,3/19/20,78,0,27,0
1,3/20/20,106,0,28,0
1,3/21/20,131,0,25,0
1,3/22/20,157,0,26,0
1,3/23/20,196,0,39,0
1,3/24/20,242,0,46,0
1,3/25/20,381,1,139,1
1,3/26/20,517,1,136,0
1,3/27/20,587,4,70,3
1,3/28/20,694,4,107,0
1,3/29/20,825,10,131,6
1,3/30/20,899,10,74,0
1,3/31/20,987,23,88,13
1,4/1/20,1060,27,73,4
1,4/2/20,1233,32,173,5
1,4/3/20,1495,38,262,6
1,4/4/20,1614,44,119,6
1,4/5/20,1765,45,151,1
1,4/6/20,1952,49,187,4
1,4/7/20,2169,64,217,15
1,4/8/20,2328,66,159,2
1,4/9/20,2703,70,375,4
1,4/10/20,2947,80,244,10
1,4/11/20,3217,92,270,12
1,4/12/20,3563,93,346,1
1,4/13/20,3734,99,171,6
1,4/14/20,3953,114,219,15
1,4/15/20,4075,118,122,4
1,4/16/20,4345,133,270,15
1,4/17/20,4571,148,226,15
1,4/18/20,4712,153,141,5
1,4/19/20,4888,157,176,4
1,4/20/20,5079,163,191,6
1,4/21/20,5317,183,238,20
1,4/22/20,5593,196,276,13
1,4/23/20,5832,202,239,6
1,4/24/20,6026,209,194,7
1,4/25/20,6026,209,0,0
1,4/26/20,6421,219,395,10
1,4/27/20,6539,228,118,9
1,4/28/20,6750,242,211,14
1,4/29/20,6912,256,162,14
1,4/30/20,7088,272,176,16
1,5/1/20,7294,289,206,17
1,5/2/20,7611,288,317,-1
1,5/3/20,7888,290,277,2
1,5/4/20,8112,298,224,8
1,5/5/20,8437,315,325,17
1,5/6/20,8691,343,254,28
1,5/7/20,9046,369,355,26
1,5/8/20,9385,383,339,14
1,5/9/20,9668,390,283,7
1,5/10/20,9889,393,221,3
1,5/11/20,10164,403,275,10
1,5/12/20,10464,435,300,32
1,5/13/20,10700,450,236,15
1,5/14/20,11101,473,401,23
1,5/15/20,11373,483,272,10
1,5/16/20,11674,485,301,2
1,5/17/20,11771,488,97,3
1,5/18/20,12086,489,315,1
1,5/19/20,12376,504,290,15
1,5/20/20,13052,522,676,18
1,5/21/20,13288,529,236,7
1,5/22/20,13670,541,382,12
1,5/23/20,14117,549,447,8
1,5/24/20,14478,551,361,2
1,5/25/20,14986,566,508,15
1,5/26/20,15650,580,664,14
1,5/27/20,16032,583,382,3
1,5/28/20,16530,591,498,8
1,5/29/20,17031,610,501,19
1,5/30/20,17359,618,328,8
1,5/31/20,17952,630,593,12
1,6/1/20,18630,646,678,16
1,6/2/20,18766,653,136,7
1,6/3/20,18851,653,85,0
1,6/4/20,19072,653,221,0
1,6/5/20,19387,676,315,23
1,6/6/20,20043,689,656,13
1,6/7/20,20500,692,457,3
1,6/8/20,20925,718,425,26
1,6/9/20,21422,729,497,11
1,6/10/20,21989,744,567,15
1,6/11/20,22845,755,856,11
1,6/12/20,23710,769,865,14
1,6/13/20,24601,773,891,4
1,6/14/20,25615,773,1014,0
1,6/15/20,26272,774,657,1
1,6/16/20,26912,785,640,11
1,6/17/20,27312,790,400,5
1,6/18/20,28206,810,894,20
1,6/19/20,29002,822,796,12
1,6/20/20,29549,838,547,16
1,6/21/20,30021,839,472,1
1,6/22/20,30454,841,433,2
1,6/23/20,31097,864,643,23
1,6/24/20,32064,891,967,27
1,6/25/20,33206,896,1142,5
1,6/26/20,34183,907,977,11
1,6/27/20,35083,919,900,12
1,6/28/20,35441,919,358,0
1,6/29/20,37175,929,1734,10
1,6/30/20,38045,950,870,21
1,7/1/20,38962,972,917,22
1,7/2/20,40111,985,1149,13
1,7/3/20,41865,1006,1754,21
1,7/4/20,42862,1007,997,1
1,7/5/20,43953,1007,1091,0
1,7/6/20,44878,1007,925,0
1,7/7/20,45785,1033,907,26
1,7/8/20,46962,1058,1177,25
1,7/9/20,49174,1068,2212,10
1,7/10/20,50508,1104,1334,36
1,7/11/20,51947,1114,1439,10
1,7/12/20,53587,1121,1640,7
1,7/13/20,55545,1124,1958,3
1,7/14/20,57255,1164,1710,40
1,7/15/20,59067,1211,1812,47
1,7/16/20,61088,1230,2021,19
1,7/17/20,63091,1265,2003,35
1,7/18/20,65234,1286,2143,21
1,7/19/20,67011,1287,1777,1
1,7/20/20,68891,1291,1880,4
1,7/21/20,70358,1303,1467,12
1,7/22/20,71813,1364,1455,61
1,7/23/20,74212,1397,2399,33
1,7/24/20,76005,1438,1793,41
1,7/25/20,78130,1456,2125,18
1,7/26/20,79294,1473,1164,17
1,7/27/20,81115,1491,1821,18
1,7/28/20,82366,1491,1251,0
1,7/29/20,83782,1538,1416,47
1,7/30/20,85762,1565,1980,27
1,7/31/20,87723,1580,1961,15
1,8/1/20,89349,1603,1626,23
1,8/2/20,91444,1627,2095,24
1,8/3/20,92661,1633,1217,6
1,8/4/20,93702,1666,1041,33
1,8/5/20,94654,1695,952,29
1,8/6/20,96592,1714,1938,19
1,8/7/20,98301,1735,1709,21
1,8/8/20,100173,1755,1872,20
1,8/9/20,101334,1768,1161,13
1,8/10/20,103020,1797,1686,29
1,8/11/20,103851,1847,831,50
1,8/12/20,104786,1882,935,35
1,8/13/20,105557,1890,771,8
1,8/14/20,106309,1893,752,3
1,8/15/20,107580,1896,1271,3
1,8/16/20,108433,1898,853,2
1,8/17/20,109004,1925,571,27
1,8/18/20,110361,1936,1357,11
1,8/19/20,111478,1944,1117,8
1,8/20/20,112449,1974,971,30
1,8/21/20,113632,1996,1183,22
1,8/22/20,114532,2011,900,15
1,8/23/20,115060,2013,528,2
1,8/24/20,116710,2024,1650,11
1,8/25/20,117242,2037,532,13
1,8/26/20,119254,2045,2012,8
1,8/27/20,121023,2076,1769,31
1,8/28/20,122185,2107,1162,31
1,8/29/20,123889,2152,1704,45
1,8/30/20,125235,2162,1346,10
1,8/31/20,126058,2182,823,20
1,9/1/20,127616,2200,1558,18
1,9/2/20,128239,2217,623,17
1,9/3/20,129285,2233,1046,16
1,9/4/20,130393,2266,1108,33
1,9/5/20,131803,2275,1410,9
1,9/6/20,132314,2276,511,1
1,9/7/20,132973,2276,659,0
1,9/8/20,133606,2277,633,1
1,9/9/20,134417,2285,811,8
1,9/10/20,135565,2301,1148,16
1,9/11/20,136703,2333,1138,32
1,9/12/20,137646,2350,943,17
1,9/13/20,138755,2351,1109,1
1,9/14/20,139459,2355,704,4
1,9/15/20,140160,2387,701,32
1,9/16/20,141087,2392,927,5
1,9/17/20,141757,2401,670,9
1,9/18/20,142863,2428,1106,27
1,9/19/20,144164,2437,1301,9
1,9/20/20,144962,2437,798,0
1,9/21/20,145780,2439,818,2
1,9/22/20,146584,2457,804,18
1,9/23/20,147153,2488,569,31
1,9/24/20,148206,2506,1053,18
1,9/25/20,150658,2491,2452,-15
1,9/26/20,151591,2501,933,10
1,9/27/20,152321,2501,730,0
1,9/28/20,152983,2501,662,0
1,9/29/20,153554,2517,571,16
1,9/30/20,154701,2540,1147,23
1,10/1/20,155744,2548,1043,8
1,10/2/20,156698,2550,954,2
1,10/3/20,158380,2558,1682,8
1,10/4/20,159169,2558,789,0
1,10/5/20,159713,2559,544,1
1,10/6/20,160477,2580,764,21
1,10/7/20,161418,2601,941,21
1,10/8/20,161975,2637,557,36
1,10/9/20,163465,2653,1490,16
1,10/10/20,164526,2664,1061,11
1,10/11/20,165342,2664,816,0
